cnom,cbin,ccon,xbin,ucon1,ybin
1,0,3.8059483,1,64.461349,1
1,0,3.7587183,0,40.601624,0
1,1,3.2253451,1,80.691383,1
1,0,3.147722,0,51.804344,1
0,1,3.7374322,0,50.844894,1
1,0,4.8266406,1,74.610786,1
1,0,3.6636975,0,53.504635,1
1,1,3.3280191,0,64.186142,1
2,0,3.7114496,0,55.691509,0
1,1,4.2210689,0,60.273441,1
2,0,3.4970248,0,68.665588,1
1,1,3.5121965,1,75.619408,1
1,0,3.6686761,0,67.370987,1
0,1,3.3279345,0,55.229187,0
1,1,4.2122321,0,67.337181,0
1,0,3.0479152,0,37.424473,1
2,1,3.7603626,0,54.254013,1
1,1,2.9055061,0,73.187653,1
2,1,3.0903065,0,56.743389,1
1,0,2.894491,0,54.037899,1
2,0,3.8058827,0,63.863331,1
2,0,3.1396163,0,57.587234,1
1,1,3.6223235,1,59.083122,1
1,0,2.7646086,0,46.632198,0
1,0,3.6888945,0,60.741959,1
1,0,3.4337866,0,64.920395,1
1,1,3.0613606,0,59.962006,1
0,1,2.4105132,0,51.241951,0
1,1,3.632494,0,64.586555,1
1,0,3.5995235,0,64.187897,1
1,0,3.8549454,1,48.372738,1
0,0,2.644619,0,54.945889,0
1,0,4.2906046,0,63.226345,1
1,0,3.419874,1,65.621422,1
1,1,2.8193071,0,49.436695,1
0,1,2.8512936,0,59.457111,1
2,1,2.8451648,1,74.854607,1
1,1,3.1077743,0,63.384151,0
0,1,3.1343746,1,62.725811,0
1,0,3.4156363,0,65.729843,1
1,0,3.7400424,0,66.103859,1
0,1,2.8222036,0,56.57428,0
1,0,3.684262,0,60.388779,1
1,0,3.4466112,0,58.401726,1
2,0,3.9592793,1,71.452499,0
2,1,2.9027429,0,52.497883,1
2,0,3.7923126,0,71.184464,1
0,0,2.8695755,0,38.16687,0
1,0,3.0468462,1,56.296555,1
1,0,3.5816708,0,69.932907,1
1,1,3.6488678,1,65.369644,1
1,1,3.5797935,0,74.894844,1
1,1,3.3463442,0,46.928593,1
1,1,3.7930903,0,49.630009,0
1,1,3.9124796,0,45.084827,1
1,0,3.510006,1,58.264004,1
1,1,2.9022756,0,72.554245,1
1,0,3.4924595,0,53.892849,1
1,1,3.9079332,1,61.314606,0
1,0,3.7886672,0,47.765366,1
1,0,3.5090733,0,60.503906,1
1,0,3.4761662,0,50.111568,0
1,0,3.5206468,0,49.461151,1
1,1,3.1084719,0,78.075958,1
2,1,3.6199741,0,50.507542,0
1,1,3.2809217,1,69.207947,1
1,1,3.0835381,1,66.39817,1
1,1,3.5099037,1,77.246429,1
1,0,3.4782407,0,53.920677,1
1,0,4.2148633,1,76.701324,1
2,0,3.0337739,0,63.053326,1
1,0,3.775125,0,74.401634,1
1,0,3.6540346,0,61.016235,1
1,1,2.9973493,0,62.272366,1
1,1,2.6848156,0,68.420395,1
1,1,3.3178799,0,77.194641,1
1,1,3.2653391,0,54.576916,1
0,0,3.2094164,1,69.116226,1
1,0,2.9896185,0,56.333652,1
1,1,2.9332438,0,60.230045,1
1,0,3.1912735,0,59.682632,1
1,0,4.2254643,1,68.84996,1
0,1,3.0191798,0,66.960564,1
1,0,3.8862462,1,69.913803,1
1,1,3.1581697,1,71.046974,1
1,0,3.7118177,1,72.22036,1
1,0,3.8924034,0,71.416527,1
1,1,3.4070668,0,59.921703,1
1,0,3.8142569,1,62.660763,1
1,0,3.1385379,1,47.784668,1
1,0,3.3707392,0,58.896015,1
2,1,3.7881699,0,65.416672,1
1,1,2.8036549,1,64.887428,1
1,0,3.2685995,0,55.010563,0
1,0,3.9909453,0,74.068298,1
1,1,2.7713549,0,67.260986,1
0,1,3.3571129,0,62.745255,1
1,0,3.7341831,0,71.819214,1
1,1,3.9023409,0,61.462379,1
1,1,3.1236808,0,61.547752,1
1,1,3.6082535,0,52.257767,0
1,0,3.8225973,0,42.859089,1
1,0,3.9265628,0,57.280956,1
2,0,3.6991622,0,78.052803,0
1,1,2.3050454,0,47.730076,0
1,0,3.9197726,0,69.253502,0
0,0,3.2421985,0,70.704979,1
2,0,3.7349424,1,73.385712,1
1,0,3.1873314,0,73.530945,1
1,0,3.2137594,0,44.917103,0
1,0,3.5031734,0,68.882164,1
0,1,2.8279428,0,52.644169,0
0,0,3.0048571,1,61.916126,1
1,1,3.2329059,0,48.334839,1
1,0,4.0791173,0,71.937645,1
1,1,2.8543327,0,34.455647,0
2,0,3.4402318,0,41.434334,1
1,0,3.5653419,1,64.001526,1
1,1,3.459938,0,53.10672,1
1,1,2.3127878,1,46.83305,1
1,0,3.2571812,0,67.101349,1
0,0,3.3436756,0,57.800652,1
1,0,3.7721467,1,92.196472,1
2,1,3.463588,0,47.025211,0
1,0,2.8281255,0,56.256065,1
1,1,3.2990274,0,45.811413,1
1,0,3.435534,0,69.700142,1
1,0,3.0418124,0,53.853855,0
1,1,3.68571,0,53.332146,0
1,0,3.989234,1,88.343124,1
2,1,3.1975629,0,58.52552,1
1,0,3.4484947,0,52.314777,1
2,0,3.2973773,0,59.413773,1
2,0,3.4261534,0,64.808319,0
1,1,2.9485054,0,55.990345,1
1,0,3.7482524,0,74.335098,1
0,0,2.5379362,0,74.223129,1
1,0,3.2275932,1,86.119667,1
0,0,2.9067976,0,52.951244,0
1,1,2.3060493,0,56.546417,1
1,1,2.7496426,1,59.97718,1
1,1,4.396512,0,72.291801,1
1,1,3.3494642,0,78.00563,1
1,0,3.8150592,0,50.512733,1
1,1,4.1994839,0,59.920124,1
0,1,3.0777376,0,50.977596,1
1,1,3.3853583,0,54.302231,0
1,0,3.6366577,0,48.285816,1
1,1,2.708725,0,56.102612,1
1,0,3.2567041,0,58.78738,1
2,0,3.1004672,0,73.039261,1
1,1,3.199122,0,64.742676,1
2,1,4.0063128,0,61.811493,1
2,0,4.9936786,0,73.303764,1
1,0,4.1895409,0,68.688873,1
1,0,3.6836245,1,67.633598,1
1,0,3.373656,0,49.694344,1
1,1,3.4075994,0,61.556416,1
1,1,3.0575328,0,52.720722,1
1,1,3.226033,0,70.610474,1
1,0,3.4846191,0,57.589485,1
1,0,3.3133457,0,55.269257,0
1,1,3.9250937,0,69.964653,0
1,1,3.1312864,1,62.665516,1
1,0,3.170398,0,62.917442,0
1,0,3.9962633,0,70.011658,1
1,1,2.7473326,0,74.582771,1
1,1,2.9133325,0,46.901321,0
1,0,3.996809,0,54.562355,0
1,0,3.0360451,0,75.429634,1
1,0,3.2477858,0,72.066757,1
0,1,2.8511498,0,73.902534,1
1,1,3.3226955,0,67.269157,1
0,1,2.542753,0,76.511864,1
1,0,4.5625277,1,63.764107,1
0,1,2.6340606,0,53.371708,1
1,0,3.3099968,0,58.659122,1
1,1,2.7576294,0,53.109612,1
2,0,2.6669803,0,78.425133,1
1,0,2.7240927,0,75.581116,0
1,1,4.1941981,0,56.622696,1
1,1,3.5904033,0,55.306705,0
1,0,3.9866364,0,54.383228,1
2,0,2.5867302,0,62.73473,1
2,0,4.3125458,0,49.079258,1
0,0,3.2262199,0,61.842796,1
2,1,3.1761837,0,79.784943,1
1,1,3.5555341,1,63.931885,1
1,0,2.6590371,0,43.866589,0
1,0,2.4260795,0,66.953613,1
1,0,4.0610175,0,65.094543,1
1,0,3.1814196,0,47.137882,1
0,1,2.8799925,0,37.664162,0
1,1,2.7242227,0,35.416607,0
0,0,3.211334,0,62.230682,1
2,1,3.0754554,0,68.874733,1
1,1,2.7859735,0,65.313164,1
1,1,3.3910844,0,69.778816,1
1,0,3.1437526,0,55.603874,0
