cnom,cbin,ccon,xcon,ucon2,ucon1,ycon
1,1,4.1327705,18.482121,82.190002,69.61483,28.269678
1,1,2.3668964,18.148712,72.309799,66.224403,23.543964
1,1,3.0071478,16.635418,94.337891,55.820812,19.783398
1,1,2.8856425,16.870089,71.296776,60.771042,22.78101
1,0,3.0538535,15.253878,77.732224,76.989227,23.916016
1,0,3.865011,18.592392,87.993362,68.289009,30.592333
1,1,3.4596028,15.338748,88.294426,65.411514,19.690254
2,1,3.6341932,16.756479,89.941307,61.326542,20.972164
0,1,2.7021463,14.111451,72.733665,61.507553,18.945248
1,0,3.2122304,20.921192,102.21487,75.030762,19.887775
1,1,2.8646715,18.369957,78.890442,86.397705,32.069443
0,0,3.4471371,19.380224,88.995911,73.19886,24.458076
1,0,3.1445444,19.796642,87.530228,57.086617,26.934872
1,1,3.1774981,20.893299,78.94426,66.177902,26.546221
1,0,4.1851244,18.30624,92.931992,60.035725,20.510864
1,0,3.6785781,18.693941,89.39048,65.437607,27.71801
2,0,4.0931015,20.551325,82.388939,71.150322,32.966732
1,0,2.2874534,18.807468,90.814224,63.008118,27.026314
1,0,3.064764,15.090691,83.921417,60.070663,24.497688
1,0,3.5972216,19.652927,93.26458,66.340851,17.55858
0,0,2.6150217,18.074867,98.157906,62.015526,27.970413
1,1,3.7266147,20.360052,86.314896,78.34771,24.44813
1,0,3.3308587,19.056639,84.336189,63.43795,23.664488
1,1,3.3433752,18.914444,89.371971,90.844276,28.680918
1,0,4.2434998,22.988037,119.74876,80.14682,38.646824
1,1,3.2227199,15.72089,75.663895,60.106361,14.132127
2,0,2.8927503,17.315729,74.866844,58.003723,20.039129
1,1,3.486239,15.118786,67.017784,69.964294,20.015596
1,0,2.4391623,16.251736,94.842865,51.540192,16.492489
0,0,2.9271762,16.514977,59.364353,54.080482,13.427547
2,0,2.6460886,18.380281,75.893829,63.651066,20.235603
1,0,2.8696668,16.710417,67.515656,72.090157,24.414034
1,0,2.6884358,19.404198,90.873116,61.429775,20.091805
1,1,3.42465,18.545471,81.899826,79.874229,29.901037
0,1,2.3447156,18.83032,85.912109,77.625252,26.436008
2,0,3.594404,16.820267,85.60601,80.228149,29.825209
1,1,3.7226157,22.3529,73.763351,70.470535,22.42387
0,1,2.9065731,20.86622,85.661819,71.787132,28.056944
1,1,3.5781429,20.664217,97.709564,68.737434,16.275141
1,0,3.3472931,18.659149,69.708145,69.43676,21.674879
1,1,3.3190787,16.070871,84.81678,77.389915,15.606019
1,0,3.4538996,18.075764,74.378151,52.973049,14.174536
1,1,3.208715,20.749611,84.061356,80.854385,27.74794
1,1,3.8614316,20.44478,85.287064,57.830448,20.488998
2,1,3.3058012,18.808575,86.670357,78.255989,19.62388
1,0,3.1525807,16.49353,73.268044,66.964081,28.264793
1,1,3.8995714,20.604883,86.78653,79.56102,21.379656
1,0,3.4192526,20.04744,73.389488,60.953083,21.447819
1,0,3.0944719,25.714317,105.59528,70.18602,18.879505
2,0,3.8189347,20.359524,88.411964,89.323212,26.534056
1,1,3.4085131,19.432159,63.735863,74.769371,16.216602
1,1,3.5821483,22.551077,94.223984,80.733849,29.753777
1,0,4.2668934,18.853714,82.905518,62.949852,26.574692
2,0,3.3358648,14.362577,73.543724,65.7855,24.265602
1,0,3.4757736,20.523777,90.135414,52.628952,16.633038
1,0,3.5611932,18.002871,94.258644,55.596085,15.48898
2,0,2.4525106,17.239902,78.097107,60.385487,23.464125
1,1,3.0886059,18.534464,83.225182,64.054161,18.301991
0,1,3.3219326,21.259878,81.986717,87.552521,30.80048
1,0,3.5066547,16.635418,103.18246,70.73233,23.889662
2,1,3.5213327,22.40918,80.369827,98.585861,26.980301
0,1,2.8240504,18.889309,71.155579,62.522289,22.368387
1,1,3.4384673,18.761904,68.222778,71.145256,18.944704
1,0,2.9531562,16.701424,95.612503,62.333389,27.20451
0,0,2.3510029,21.179573,84.384735,66.413513,21.463621
1,0,3.3048882,16.796932,81.969872,65.179123,22.818464
1,1,2.7189097,17.503651,91.232788,58.098167,24.122761
1,1,3.9286916,20.309359,90.019943,72.864807,16.566195
1,1,3.4671807,16.056406,73.282631,48.517673,21.877728
1,1,2.7400837,17.260147,69.17009,62.72406,15.317135
0,1,2.4526374,20.525766,80.538284,72.929184,16.369108
1,1,3.4829707,20.353258,89.105446,70.974503,27.508705
1,1,3.9663327,18.668894,69.505287,50.687363,18.955576
1,0,3.6617091,14.965204,95.834686,64.926018,24.925583
1,0,3.7653248,17.211193,57.018177,68.388557,25.635456
2,1,4.0323067,21.463554,75.077003,76.463997,22.513683
1,0,3.3765903,24.519941,121.97154,93.064751,29.022909
1,1,3.6576312,19.226284,80.540222,67.775421,31.089706
0,1,3.0611589,17.633486,92.269157,56.310303,25.686657
1,1,3.3387802,21.680635,82.089935,83.628403,25.250792
2,0,4.1464581,15.704415,74.698334,63.390831,22.887917
1,0,3.3142946,18.127245,75.21376,70.465424,27.919476
