cnom,cbin,ccon,xcon,ucon,y_t,y_d
3,0,-1.0552349,-.064230442,50.659424,.29443359,0
2,0,-1.8359505,-.12638976,42.204563,3.2374268,0
4,0,.35170135,-.87132293,62.570179,.14894196,1
1,0,-2.0278738,1.0196577,50.304707,3.4648438,0
1,1,-7.3673668,.012989677,40.16473,1.3097955,1
3,1,4.1274433,.32321522,49.359261,5.7038784,1
2,0,-11.334442,.10991523,50.194389,2.5767822,0
4,1,-14.916512,-.021383114,66.341545,4.1265869,0
1,0,-.053043164,-.096301079,63.210648,4.5212402,0
2,1,-1.8141693,.40468487,55.244232,4.4160156,0
2,1,-1.0668737,.32302159,55.926746,1.490755,1
4,0,-10.483878,.043733787,41.09016,3.1724854,0
1,1,.097712703,.82648385,51.643917,3.274292,0
1,0,.79661161,-.42109531,59.009144,1.5816747,1
4,0,6.3988724,-1.1560721,53.28524,2.7262056,1
3,0,-2.9585936,.39962035,53.71183,2.4152679,1
4,0,2.052562,-.12412026,46.448517,2.1065521,1
2,0,7.3670478,.038154572,48.158787,3.2331543,0
3,0,5.2541986,.10173604,46.362759,1.2073975,0
4,0,-2.9021542,.52911097,33.41098,9.9152832,0
3,1,-7.6484094,.45603725,53.1283,6.7165527,0
4,0,-6.9266977,-.23255572,60.039581,.74963379,0
3,0,1.8056482,-.019177884,45.246861,9.0953369,0
2,0,-3.3023851,.199882,45.61372,7.2541504,0
1,0,4.910254,-.038848236,43.300888,2.3771973,0
2,1,-2.9918306,1.2690705,61.293476,2.0165174,1
3,0,-15.945577,.37189949,52.259823,3.0751078,1
3,0,-1.7262868,.42184019,51.851822,1.4279499,1
4,0,-11.306116,.11457169,72.888954,1.1165284,1
2,1,-1.9934413,.47642267,59.556602,3.8272705,0
4,0,-15.69613,-.22762802,79.521156,3.9143066,0
1,0,-8.7604094,.35814247,49.541988,.31173003,1
3,0,-8.5395699,-.49623367,68.875725,4.8667884,1
2,0,-21.571878,-.10033862,51.50016,1.1853027,0
1,1,-7.5470963,.70823932,55.126606,3.7496414,1
2,0,.16455552,.18369141,54.041798,3.6340332,0
3,0,-5.1195102,.84813738,57.05888,8.7579346,0
2,0,.87522656,-.030519623,56.567223,2.8924098,1
1,1,2.1649582,.099857561,59.525089,.18249512,0
1,0,-8.3408489,-.95886129,68.389915,6.057373,0
4,1,-7.0615425,.87583566,50.62574,.088134766,0
4,1,-4.4672365,.67678893,30.493584,10.728951,1
3,0,7.6779141,-.82792574,83.15802,4.2279053,0
3,0,1.6385847,-.3016209,38.124947,11.159912,0
1,0,5.6897006,-.65053451,44.887886,1.3751221,0
3,0,-2.1899242,-.063984565,56.372211,3.1291256,1
1,1,-.5209381,.48130381,61.008286,4.5486689,1
2,0,-4.2090297,.35053265,55.397385,9.1190996,1
1,0,-.82441568,.23822898,52.750977,3.4505615,0
2,0,-1.0922804,-.12404492,49.625813,9.3618164,0
2,0,-8.57757,.12879983,64.927536,3.8936131,1
2,0,-3.0096464,-.37813124,55.758579,4.7849889,1
1,0,-5.0310349,-.3137728,60.199493,1.8729028,1
2,0,4.2434678,-.13669297,51.284134,.36425781,0
3,0,-2.9033005,.060496051,71.189362,1.8743896,0
4,1,.20377922,.13426475,62.868206,4.151001,0
1,1,-.87727076,.62885982,51.527794,10.187744,0
1,1,11.905687,.44924241,42.966541,4.9866943,0
1,0,-1.4657716,.12022869,62.090683,4.1192627,0
4,0,-2.5778556,.59022814,58.890915,9.8052979,0
4,1,-3.414269,1.1240762,43.440929,5.2225585,1
2,1,2.1273887,-.17419071,48.722202,5.419569,1
1,0,-9.97509,-.42365476,77.931389,.26831055,0
3,1,-1.5280377,-.010422447,44.209251,5.545207,1
1,0,-1.8437643,.039708361,63.785526,2.097168,0
4,1,-1.1448735,.63907117,56.924572,.10253906,0
1,0,-6.0546846,.13755032,69.495071,2.6976995,1
2,0,-6.7461915,-.53917414,54.420547,2.2160645,0
1,0,2.9569759,.10579032,48.351799,4.8676758,0
4,1,-4.8108425,.53383881,61.152626,1.1710136,1
4,0,15.664559,-.38006166,48.892616,3.3527832,0
2,1,2.9177434,.53367513,44.974682,2.7020376,1
2,1,3.9945982,.25451091,62.408958,2.5677452,1
4,1,.75055641,.4172309,57.534218,4.9434905,1
4,0,1.1167233,-.503775,58.586327,2.3651123,0
2,0,-3.4818912,-.27673674,57.046497,6.2902832,0
2,1,12.220681,.46768928,65.018791,3.7168717,1
2,0,-7.4463592,.50149614,67.552124,7.0352783,0
4,0,-6.5148983,-.52583659,45.463142,3.9944782,1
3,0,-4.8130212,.12246602,58.230297,.94198805,1
1,0,5.242857,-.28343976,66.439003,3.2335384,1
4,0,.76582217,-.4453463,70.634445,2.5478516,0
4,1,-1.5196477,-.24325418,58.634834,.14359885,1
1,0,-5.3948884,.2107843,66.559082,4.8726263,1
3,0,-9.8091803,.31418723,30.733547,.20173311,1
1,1,3.0928609,.53323489,62.203335,.86796588,1
3,0,12.527919,.14336126,53.604622,4.0189209,0
2,0,-5.5350356,.3890979,63.555489,3.5878601,1
2,1,1.4462662,.70120096,65.15239,2.3612669,1
3,0,2.0963132,.52727926,32.398617,5.175415,0
1,0,8.7434864,-.78455234,58.512093,3.2407227,0
1,0,4.8775864,-.14935063,40.85479,4.4212646,0
2,1,4.1867003,.37424237,31.392149,7.892262,1
2,0,3.0471525,.26240501,39.927738,1.0925293,0
3,1,-5.109766,1.1277367,64.538712,1.8251953,0
2,0,-.071382314,.62816453,48.187599,7.1293945,0
2,0,10.460602,-.27520338,33.728428,6.5137939,0
4,1,-1.0528774,.83992195,49.320099,.87988281,0
4,0,-9.0186157,-.26449072,55.555706,3.7970989,1
2,0,-.62916654,-.13199916,57.551151,3.9445801,0
4,0,-.56485516,.37518498,59.352489,2.7390137,0
2,0,-10.505512,.28719315,58.868984,2.5045171,1
3,0,-4.5517788,.095551148,52.734928,8.1832275,0
2,0,-3.8590326,.20397291,43.032883,10.78064,0
1,0,5.1229057,-.24901703,38.354965,.25488281,0
2,0,.39983323,.52433503,39.866985,3.865134,1
4,1,-2.1097512,.76626498,62.189613,.14466782,1
