cnom,cbin,ccon,xbin,ucon1,ybin
2,1,4.1710443,0,63.14975,1
1,0,3.2508252,0,70.329819,1
1,1,2.9906359,1,63.398033,1
1,0,3.0434556,0,63.776447,1
1,0,3.2884562,1,72.476471,1
1,0,3.4847059,1,54.195862,1
1,0,3.7824852,0,40.212929,1
1,1,3.9138258,0,57.425098,1
1,1,3.3337815,0,65.56057,1
1,0,3.9201117,0,43.210331,1
0,0,3.5056102,0,68.479958,1
1,0,2.9869349,0,50.070786,1
1,0,3.2054522,0,64.780602,1
1,0,3.0428932,0,74.815987,1
1,1,3.4822598,0,55.095024,1
1,1,3.4996431,0,62.453571,0
1,1,3.0619469,1,64.809258,1
1,1,3.1382413,0,57.337147,1
1,1,2.9415746,0,46.409725,0
1,1,2.8167088,0,50.974483,1
1,0,3.3042831,0,50.923782,1
1,1,4.120441,1,75.337929,1
1,1,3.3132999,0,71.91317,1
0,0,3.4315822,0,50.63398,1
0,1,3.1493709,0,62.229538,0
0,0,3.3397732,0,63.765644,1
1,1,3.1683536,1,81.941124,1
1,1,3.320528,0,67.528221,1
1,0,3.2340841,0,52.687649,1
1,0,3.7741838,0,76.193802,1
1,1,3.4280131,0,58.939293,1
1,0,3.9562645,0,63.008598,1
1,0,3.6761329,0,62.3619,1
1,0,3.285907,0,51.466541,0
1,0,3.3862038,0,60.280811,1
1,1,3.876461,0,60.284473,1
1,0,3.0065999,0,59.060955,1
1,1,3.2452703,0,66.16407,1
1,1,3.2117677,0,55.731506,0
0,1,2.7697887,0,66.883041,0
1,0,3.5161731,1,64.308723,1
1,0,3.821629,1,69.838959,1
2,0,3.2257907,0,63.71965,0
1,0,3.0023823,0,47.354847,1
1,0,3.7381721,0,56.131954,1
1,1,4.1181602,1,55.395939,0
2,1,3.331192,1,71.825134,1
1,1,3.4259219,0,64.212593,1
1,0,3.9056714,0,81.776253,1
1,1,3.0981786,0,57.704094,1
1,0,3.2501872,0,76.822739,1
2,0,3.8640742,0,69.094795,1
1,1,2.913887,0,59.262264,1
1,1,3.0293481,0,63.949528,1
1,0,4.1295843,1,66.852921,1
2,0,3.1054454,0,58.35957,1
0,0,2.2854335,0,56.854851,1
1,0,3.3069391,0,48.676567,0
0,1,2.70222,0,58.238338,1
1,1,4.0028481,1,58.779476,0
1,1,2.5859597,1,53.154598,1
1,1,2.8665147,0,63.414295,1
1,1,2.7520654,0,44.910362,1
2,1,2.9973471,1,76.417053,1
1,0,2.8486576,0,52.966972,1
0,1,3.095578,0,63.037338,1
1,0,3.0621033,0,45.495228,1
0,0,2.4493794,1,61.808537,1
0,0,2.9109495,0,52.104881,1
1,0,2.8137434,0,67.758492,1
1,0,3.7810574,1,58.167747,1
1,0,4.1889133,0,54.784447,1
1,0,3.731698,1,59.736996,1
1,0,4.2951374,1,73.912437,1
2,0,3.4690316,0,57.122383,1
1,0,3.3523717,0,55.357853,1
