cnom,cbin,ccon,xcon,ucon2,ucon1,ycon
1,1,2.9362783,21.397783,91.158089,74.560081,24.662243
1,1,3.4932601,18.036121,81.71244,61.320652,18.623388
1,0,2.9702389,17.735828,73.78727,60.540249,26.078106
1,0,3.2849743,19.788483,86.647217,70.988785,24.789921
1,0,3.1478879,16.352531,67.001839,55.604675,19.906534
1,0,3.0669911,22.263332,89.342377,62.795788,14.079055
1,1,3.7139328,20.17284,84.188118,67.136795,27.445639
1,0,3.6742098,20.243866,69.452248,58.4589,23.017677
1,0,3.3080084,20.322575,68.218582,83.21582,29.717628
2,0,2.899538,18.013653,80.150566,67.974754,26.983696
1,1,2.5137217,16.669188,71.973473,68.053574,19.807415
1,0,3.5377409,20.63764,72.096725,84.434914,24.636879
1,0,3.5339248,17.142979,86.302673,62.702419,25.813768
1,1,3.2955878,16.063448,92.180984,49.023354,22.805258
0,0,2.7660592,19.413717,73.772659,98.094887,25.878487
1,1,2.2431571,19.434233,79.347382,45.348885,18.335966
1,1,2.7137175,19.290297,73.357681,64.648766,11.900695
1,0,3.041678,18.772743,90.119034,65.128647,19.460909
1,0,3.3891835,21.901575,70.760391,75.51326,22.179846
0,0,2.7020924,17.480629,78.307564,70.914749,14.740108
1,0,3.6406343,19.618876,73.681549,71.426659,20.738834
1,0,2.8616912,18.451468,105.52682,72.878792,17.896566
1,0,2.85602,23.568411,101.61821,73.649788,27.475737
1,0,4.7020617,18.78891,70.521172,77.677986,22.027086
1,0,4.1940851,24.846674,89.352631,88.410652,22.628479
1,1,3.1949623,21.758377,86.320282,74.663887,28.577112
1,1,3.5628214,20.97653,83.830864,63.263279,20.604406
1,0,3.2498324,18.454409,86.225792,75.109291,22.113237
1,1,3.1738021,16.247684,85.208969,54.011433,21.027353
1,1,3.9065914,20.99276,81.318794,72.446655,21.792751
1,0,3.5526087,18.279261,75.963928,64.114899,17.470343
1,0,3.7472167,17.957985,84.360603,73.463127,25.302406
1,0,4.0130558,20.957891,79.876259,81.759064,14.886882
1,1,3.324049,20.265043,68.304123,54.370617,19.123728
1,0,4.3434744,22.027809,53.587467,79.119225,23.143984
2,0,3.8070295,20.657871,98.24292,72.518547,25.080189
1,0,3.3704684,21.00458,87.034302,76.740761,31.91083
2,0,4.1076722,19.264469,69.95446,73.842354,19.205948
0,1,2.3126309,18.364477,74.610962,68.701149,22.547911
0,1,2.0405295,19.367643,90.825874,76.843719,22.703955
1,1,3.7106445,22.990738,86.280968,69.966484,19.202063
1,1,4.219821,18.3853,79.750618,70.057526,23.766363
1,1,2.631315,13.462302,94.120277,59.294434,29.867849
2,1,3.6968653,20.486408,80.431427,77.111488,21.018063
2,1,3.3858061,17.44809,78.471855,66.225342,19.682251
1,1,3.1806967,18.248596,79.029579,66.104584,22.861946
0,0,2.4992847,18.877893,91.663528,63.861069,23.282162
1,1,4.499485,22.323734,88.730591,65.504639,17.768127
1,0,3.5539443,22.103378,67.734711,69.748352,28.179068
1,1,3.1723735,14.564664,91.412689,62.69799,22.908697
1,1,3.2069414,19.789152,103.6691,67.513969,19.202677
1,0,3.6770198,17.274044,89.776627,67.990417,15.050271
1,1,3.504765,21.331352,75.159119,72.064873,15.85409
1,1,3.6273065,25.578621,90.040367,84.224899,31.237221
1,0,3.9215009,21.30901,88.685318,72.722923,24.638071
1,0,3.9203744,20.419178,90.672241,75.008606,22.872787
1,1,3.0950954,19.124765,75.469269,71.658318,33.102825
