cnom,cbin,ccon,xcon,ucon,y_t,y_d
1,0,4.0596356,.15067282,35.567619,10.739258,0
1,1,2.9154518,.55772614,55.326199,5.0050049,0
1,0,-7.1040692,.10082614,65.447556,1.5619923,1
4,0,.71220601,.0023982117,60.658962,8.1702881,0
3,0,-4.2883611,-.051241595,40.540607,.12792969,0
3,0,8.5130749,-.93991983,71.08889,7.3024902,0
3,0,-3.1863787,.57345891,61.243484,.56311876,1
1,0,4.243609,-.42868975,54.205135,.99841309,0
4,0,-6.2587166,.39215815,43.885193,2.919389,1
1,0,2.9304173,-.20901527,43.364437,.17089844,0
1,1,-2.1387186,-.51212198,64.264923,4.5040531,1
3,0,4.5551157,-.095940821,49.446693,4.309813,1
3,1,-9.8962135,.38342345,55.340134,7.538239,1
1,1,-3.3404577,.42570186,48.633583,3.477283,1
4,0,-10.282769,-.2836192,68.673523,3.3948975,0
3,0,-2.2801628,.45324966,64.551643,7.2408447,0
2,0,-1.818035,.085258268,56.086224,.41467285,0
1,0,10.382463,-.13280781,51.09388,4.4701505,1
1,0,-4.7827106,.43426281,64.969215,.62692988,1
3,0,-2.559413,.18682912,56.048923,6.8624268,0
3,0,-.20829383,.36742297,52.043919,3.9365349,1
2,0,-15.777605,.36509177,43.597454,.058105469,0
1,0,4.4156523,-.10811348,63.336964,6.5358887,0
1,0,7.1700382,.51735085,40.60891,10.200195,0
1,0,-2.2148638,.30804077,47.724537,2.199707,0
1,0,6.8504777,-.31771541,50.311253,3.930542,0
3,0,-8.4129505,.25379667,70.778008,1.9418117,1
1,0,2.9952207,.049372729,60.426758,4.4560547,0
3,1,7.8714194,.94476169,52.593887,2.6184177,1
3,0,-.36766112,-.57934064,60.760811,9.1225166,1
2,0,11.642649,-.95911783,57.791466,8.2000732,0
2,1,9.8830976,-.04678734,53.633995,6.6358643,0
4,0,1.5894516,-.069343314,53.93578,6.5646973,0
4,0,-6.086678,-.21653464,47.586334,.56433105,0
4,1,-2.7995374,.87484652,44.629696,2.0378959,1
3,0,4.8170061,.77226955,44.431934,6.1147461,0
3,0,-4.5205879,-.060567129,59.526264,1.8606741,1
3,0,3.0681098,-.37121567,47.389034,5.3375244,0
4,0,-5.0646071,.49288863,58.668842,.085187145,1
2,0,5.0477147,-.070615791,37.725288,4.4919434,0
2,0,-3.6382012,.18555433,54.885071,.16894531,0
4,0,-3.2750463,-.31710407,70.068222,3.168335,0
2,0,7.9750972,-.77006692,57.859974,1.7275391,0
1,0,-2.1056566,-.02166432,54.60891,2.8786621,0
3,1,5.5594807,.13425852,51.844124,6.8354468,1
4,0,7.7195816,-.21453418,62.019081,6.5540819,1
3,0,7.8048291,.32310188,51.527248,.91906738,0
2,1,6.5003371,.69330209,34.589169,8.0025558,1
4,0,1.0113926,-.25966695,62.506775,.25231934,0
2,0,-7.5963626,.1707263,49.445492,1.5914307,0
3,0,8.6226816,-.072311841,59.801517,2.4100342,0
3,0,.27073941,.46884024,66.704262,1.0907187,1
4,0,-6.3448672,.26462859,48.127926,6.0954671,1
3,0,-5.8693991,.52730107,51.154163,1.4414372,1
4,0,2.5512469,-.28850484,59.296516,6.3308105,0
4,0,3.2266707,.21834482,43.186954,2.4277344,0
