cnom,cbin,ccon,xcon,ucon,y_t,y_d
3,0,10.795146,-.39247507,58.610516,11.349243,0
1,1,-1.9573864,1.3381454,28.882299,3.3584371,1
3,0,-3.6597776,-.27609029,74.016144,5.2233377,1
2,0,-.73674721,.18252955,49.664688,2.1676025,0
4,0,-3.6825101,-.3612372,77.575607,4.8548908,1
2,0,-.23590139,-.86904621,65.902351,1.2699716,1
3,0,4.2189002,-.64137834,68.332207,1.0265647,1
2,1,4.0865064,1.0357769,40.297394,.85742188,0
2,0,5.1683321,-.71023726,51.899727,8.8579159,1
2,1,4.183928,.67392045,42.523506,2.2935791,0
1,0,-.43351507,-.12741975,88.169235,6.178606,1
3,1,7.755136,.35797825,54.695675,4.8133545,0
4,0,-.84039611,.28098276,56.604858,4.1710815,1
2,0,-6.9834971,-.46965542,69.597725,7.4820557,0
1,1,-6.5707197,.1222342,67.417763,.16986644,1
2,0,5.5796652,-.23759525,54.419758,6.4855886,1
3,0,4.4560642,-.45124513,57.646015,7.4291992,0
1,0,-1.9664571,-.17118545,45.890724,1.8376465,0
3,0,1.4044271,-.021207688,56.819927,2.3808594,0
4,0,-1.6091931,.26272842,47.593918,2.7150116,1
1,0,8.3899517,-.6461212,62.371948,2.2851563,0
4,0,2.2355416,.076895885,57.193237,8.0046358,1
1,1,10.674436,-.19464774,49.964722,4.5637226,1
2,0,7.3530831,-.03400081,52.893402,5.73985,1
2,0,-1.9391479,-.33812416,46.735062,1.3203125,0
3,0,-4.575305,.28143772,63.189468,6.8294096,1
2,0,5.0240755,-.69774181,44.01329,4.7801514,0
3,0,4.7618866,-.96113205,72.358574,3.5362549,0
1,0,-7.6704302,.23512539,67.061119,3.0364809,1
2,0,3.3741353,.038221523,57.326916,1.7879412,1
1,0,-3.074038,-.87735629,63.99456,1.4951813,1
3,0,4.4341574,-.10461044,45.044796,.2635498,0
4,0,-8.8812437,.063379668,57.213871,8.5490723,0
2,0,-5.4186468,-.33594522,58.316032,5.4182129,0
1,0,-8.1059809,-.012219609,62.461346,1.1140349,1
3,0,1.8129817,-.37831241,50.337143,7.4081988,1
2,0,-6.2734356,.39775798,38.321693,5.0172453,1
1,1,-6.7198262,1.1082875,50.578892,3.234906,1
2,0,.13625219,.78010577,55.705723,7.4486084,0
3,0,1.8124794,-.10721937,75.005699,4.3246832,1
1,0,-8.888464,-.16364764,44.1357,5.4897676,1
1,0,-3.5405698,-.032059845,56.99033,7.6573486,0
1,0,-4.6242514,-.16256635,62.751156,4.9571037,1
4,0,-4.5793767,.33443633,50.425484,1.7239546,1
4,0,.19958302,.40162128,42.001205,3.5390625,0
3,0,-6.1217642,-.13966042,77.311798,1.315874,1
4,0,-2.5414195,-.87166208,55.310909,3.470875,1
1,0,-1.233084,.19801334,57.224873,3.8100586,0
3,0,-7.2663603,-.12814002,73.222214,.074140199,1
1,0,4.713335,-.00024469465,64.407578,8.0215359,1
2,0,-5.2743163,-.18402119,58.306847,2.3587224,1
3,0,2.0163016,-1.0458432,52.014202,7.0538278,1
4,0,1.303257,-.080504425,58.726929,.099243164,0
1,0,-3.6562591,-.52590185,65.628181,6.1224785,1
4,0,-.093182266,.22881281,59.467037,1.3356085,1
2,0,-4.6244555,-.036899306,55.090267,2.5123291,0
2,0,.92458141,-.51485419,68.252144,.5396328,1
2,0,4.884593,-.16089566,52.562485,2.3294678,0
1,1,-16.833103,.64724171,57.598682,1.2454156,1
1,0,-3.7108698,-.14005283,60.786636,4.4692793,1
4,0,-3.458159,-.29373625,43.725376,2.127075,1
4,0,-.45435819,-.040432502,54.180389,3.197341,1
4,1,-.18939899,-.2030163,50.147873,8.8087721,1
3,0,-4.3944683,.063515402,48.719551,11.886841,0
4,0,-2.1635792,.087856784,70.308601,4.1569185,1
4,0,7.4857664,-.067339547,71.005791,5.3558187,1
3,0,10.879451,-.61626673,64.465912,1.0839163,1
2,0,-1.9239662,-.052426063,48.987644,3.085083,0
3,0,6.6804881,-.86102962,53.041916,1.9603271,0
2,0,2.2836695,-.35809067,54.105576,9.0446777,0
2,0,13.54029,-.49503487,69.357277,1.3190918,0
3,1,-3.8430753,1.3298594,73.498268,2.5320535,1
1,0,11.984131,-.91293555,42.332359,7.887404,1
3,0,.078024395,.14187115,55.803566,3.1983643,0
2,0,4.8736253,.10593599,50.945602,8.5252686,0
3,0,7.6940551,-.3678385,52.358852,.45727539,0
2,1,-1.8718487,.81422818,60.353642,4.5783691,0
1,0,.56127691,.14335227,49.258011,1.7388781,1
1,0,2.5527723,-.25113127,71.456993,5.0513916,0
1,0,-5.8538857,.47410649,50.189068,2.729248,0
3,0,-3.5626559,-.39835358,48.386936,1.0221927,1
4,0,4.0898495,.57929736,39.218254,.65344238,0
2,1,14.276347,.017498147,32.918758,.93164063,0
4,1,-.43072507,.11653703,42.718151,1.4638033,1
3,0,7.4103737,-.4406085,46.023182,11.765625,0
2,0,-2.4878602,-.5050866,82.45385,.51953125,0
3,1,-1.7750379,.46464708,64.422478,5.7630615,0
2,0,1.5521188,.088264436,70.395447,1.0083008,0
4,0,3.0229774,.1263734,74.809364,2.0383301,0
3,1,3.6486356,-.24325529,49.436863,5.3929319,1
1,0,-1.5241749,.70790595,45.079731,8.8438721,0
3,0,-1.9625958,-.24616407,57.572849,4.6437941,1
1,1,-16.346218,.28086895,79.078644,.78649902,0
4,1,-9.6229773,.21748737,65.583488,.08996582,0
4,0,1.5016437,.61966294,57.525539,2.256129,1
4,0,-2.427959,.13400494,66.035576,3.0583496,0
2,0,-6.0263996,-.28669044,40.01022,5.5332036,1
1,0,-9.1989174,-.13825895,54.915005,6.4487305,0
2,0,.19002977,.18795229,56.470436,.41785079,1
4,0,-1.4685314,-.28056276,55.486046,3.8339641,1
1,0,7.0085721,-.71496278,58.163975,6.0908203,0
3,0,-.034413468,-.38004234,54.12624,7.6217041,0
2,0,7.8465538,-.44920525,49.843716,2.7390137,0
3,0,-6.3191628,.022465341,68.781708,3.9709039,1
1,0,-6.8028369,-.07068263,66.473656,6.2239103,1
1,1,-7.5438752,.56061637,66.543991,4.011363,1
1,0,-3.4098432,-.45722073,61.272438,4.4134521,0
3,0,-3.3848691,.38598892,45.36338,2.5090332,0
3,0,7.2348285,1.6304793,43.060204,11.415283,0
1,0,15.1553,-.4011457,39.749771,.70751953,0
