cnom,cbin,ccon,xbin,ucon1,ybin
1,1,3.72823,0,61.51955,1
2,1,3.5106125,0,61.7117,1
1,1,3.1443703,0,55.281662,0
1,0,3.2289376,0,68.260246,1
1,1,3.0016041,0,52.040672,1
1,1,4.3856215,1,84.11747,1
1,0,3.7621188,0,87.544846,1
2,0,2.9102907,0,57.329819,1
1,1,3.0275216,0,76.227409,1
1,0,3.4590652,0,71.624107,1
1,1,2.3420291,0,41.703472,1
1,1,3.2209685,1,70.419266,1
1,0,3.9583466,1,74.794914,1
2,0,3.0636566,1,69.147179,1
2,1,2.9029701,0,56.70771,1
1,1,2.9283876,0,51.58778,0
1,0,3.1179912,1,55.805313,0
1,1,3.9750326,0,58.184845,1
1,1,3.9619291,1,58.931664,1
1,0,3.7851303,0,46.729477,0
1,1,3.7563624,1,62.076012,1
1,1,3.0416968,0,46.968445,1
2,1,3.7736356,0,48.014763,0
1,1,2.9432476,0,67.046761,1
1,0,3.9563468,1,84.69725,1
1,1,3.9994667,0,56.951504,1
1,1,3.547466,0,62.726105,1
2,1,3.0102921,0,64.044502,1
1,0,3.1982291,0,69.397751,1
1,1,2.9211752,0,44.612007,0
2,0,3.5185699,0,61.023308,1
1,1,3.0040581,0,67.356285,1
1,0,3.1143017,0,66.71981,1
1,0,3.7144189,1,71.285812,1
2,1,4.0193624,1,72.855392,1
1,0,2.315814,0,59.570038,0
1,1,3.6999657,1,73.298782,0
1,0,3.0326657,0,64.838799,1
1,0,3.1984878,0,45.625454,1
1,0,3.8464141,0,65.728127,1
1,1,3.7068622,1,65.367058,1
0,1,3.1760051,1,58.934231,1
1,0,3.7867339,1,64.89106,1
2,1,2.3719285,0,74.481544,1
1,1,2.9033971,1,44.67905,1
1,1,3.660804,1,74.46273,1
1,0,3.5635746,0,30.997261,1
1,0,4.3308711,0,50.330448,1
1,1,4.0811219,1,55.755444,1
1,1,2.7138107,0,38.881939,1
1,1,3.5992775,0,71.568993,1
1,0,3.0930936,0,39.25629,0
0,1,2.824779,0,54.219475,1
1,0,3.9509013,0,63.689102,1
1,0,3.5313632,0,62.710289,1
1,1,4.1706004,1,65.886314,1
1,1,3.9741602,1,77.110664,1
1,1,3.8263102,0,63.210175,1
1,0,3.9417357,1,69.956139,1
1,0,3.684535,1,71.305969,1
0,1,2.8866625,0,75.64283,1
1,0,3.8334658,1,60.085274,1
1,0,2.7639573,0,48.997261,1
1,1,3.3915646,0,51.574944,1
1,0,3.3875377,0,53.452911,1
1,1,4.2181268,0,57.120693,1
1,1,3.6386249,1,64.573006,1
1,1,3.853771,0,75.82785,1
0,0,3.0248363,0,31.989323,0
2,1,3.163523,0,65.95118,1
1,0,3.8874927,0,69.389252,1
1,1,3.7839277,1,58.389038,1
1,0,2.3888087,0,54.929787,1
1,0,3.3443606,0,70.02636,1
1,1,2.6773028,0,66.729225,1
1,0,2.5126462,0,49.427547,1
1,1,3.6658461,0,65.392593,1
1,0,3.1945169,0,40.554539,1
1,1,3.076088,0,52.475983,0
1,1,3.5566039,1,71.4832,1
1,0,3.3159502,0,53.681393,1
1,0,4.2766471,0,78.672264,1
1,0,3.3562818,0,60.796856,1
1,1,3.3415551,0,63.236641,1
1,1,3.6575243,0,70.163033,1
2,0,3.6328657,1,68.391296,1
0,1,3.1214991,0,67.847664,1
0,0,2.3402565,0,63.24004,1
1,1,3.1097069,0,62.00407,1
1,0,3.4773085,0,44.608795,0
1,0,3.6418836,0,55.883358,1
2,0,3.6792867,1,71.79776,1
1,0,3.2709029,0,49.714207,0
1,1,3.2417762,0,53.829174,0
0,0,2.9001365,0,63.422585,1
1,0,3.9991999,0,58.140079,1
1,1,4.3218021,1,57.741718,1
2,0,3.574908,0,63.683117,1
1,0,2.9424143,1,69.672371,1
1,1,3.9944308,1,62.276447,1
1,0,3.8684015,0,55.790783,1
2,1,3.6234026,0,61.648975,1
