cnom,cbin,ccon,xcon,ucon2,ucon1,ycon
1,1,3.4163926,16.496008,85.357117,70.067497,19.105045
1,1,3.7296989,19.706804,69.450134,83.337814,26.467587
1,1,3.2877972,24.189873,81.486626,54.501339,23.137945
1,1,3.5351937,18.777203,89.753067,81.047394,27.257387
1,0,3.1306126,19.372417,76.590462,65.016113,14.98577
2,0,2.4970777,21.756668,104.10403,75.548065,30.972563
2,0,4.0923038,17.222092,81.427467,69.193359,22.343035
2,0,3.2306762,19.222237,89.949898,67.16861,33.758282
1,1,3.9459047,20.43157,81.348038,73.1782,25.407177
1,1,2.9558434,16.396521,71.747673,64.094513,19.842714
0,1,3.0349042,20.691925,85.095047,70.129364,24.12981
1,1,3.5867448,24.134909,92.931923,90.837234,31.620169
1,0,3.6065531,22.302921,92.95797,69.77227,29.324741
1,0,3.7168245,18.559793,78.664886,63.429268,20.528889
1,1,3.5303369,13.902735,70.379417,61.219204,26.251728
1,1,4.1644616,18.397358,83.875946,65.946808,25.868034
1,1,3.9375682,20.924278,86.483612,66.344933,24.419519
1,1,3.9092073,18.507854,87.882538,66.308777,22.046301
1,1,3.3735876,16.220564,63.505348,72.796867,21.456896
1,1,3.325963,18.056551,94.751266,78.177269,14.79266
1,1,3.0863235,22.61278,85.245415,88.824577,19.979769
2,1,3.8109362,20.130772,106.06432,71.364548,23.252115
1,1,2.8318751,13.810268,76.503342,61.155582,17.875811
1,1,3.3745079,20.517675,77.310555,52.857349,11.254316
1,0,3.8321443,22.426485,104.1032,78.593163,23.883858
2,0,3.6460476,18.537683,85.727524,68.914238,23.679749
1,0,2.9885428,17.383293,88.383118,44.672916,27.243601
1,0,3.1937852,18.598677,76.773582,75.298164,13.915956
1,0,4.0196648,16.463858,65.061584,59.710808,19.978832
0,1,2.9191482,21.272345,72.472038,72.489014,25.092394
1,0,3.6910813,19.527758,92.486931,68.73056,24.509844
1,1,3.1601536,19.87948,76.462914,72.127747,19.743114
0,1,2.2548199,17.434345,84.390465,39.841209,19.328644
1,0,2.8681588,22.332098,88.669838,59.158089,22.057184
0,1,2.8432353,19.288506,79.138,67.175545,23.350851
1,1,3.6201794,22.989635,74.761551,70.373764,18.845762
0,0,3.1923573,15.727612,85.931053,46.929943,14.482573
1,0,2.5030847,15.269188,64.545876,55.854416,15.059222
1,1,4.1183119,21.855089,96.570595,72.408051,19.994001
1,0,3.2481277,20.747929,83.212959,62.487293,25.926582
1,1,3.7123315,20.043602,97.385956,71.492607,12.577297
1,0,2.4668958,13.053644,80.164619,46.811882,26.154205
1,1,3.4751174,22.307884,83.850433,74.371552,22.435448
1,0,3.8902328,17.813726,96.052109,64.283432,21.17016
2,1,3.188751,18.494328,86.033005,63.070457,22.845251
0,1,2.9562809,18.123949,97.621071,76.138634,26.785181
1,0,3.80408,18.957907,90.564194,79.463791,26.381269
0,1,2.6526332,18.798431,69.52739,59.965618,20.645487
1,1,4.3224359,19.151684,95.956749,90.639435,24.397814
1,0,3.3059595,16.655239,67.015144,72.952164,22.347401
1,0,3.1658738,17.437279,71.071579,55.00898,19.067696
1,1,2.8559217,17.817577,82.91098,63.968811,18.532619
1,1,3.1366811,20.469492,72.265724,73.072731,20.328947
1,0,3.3706563,20.305483,78.013489,68.951469,20.570145
1,1,3.7321556,19.937349,85.312561,57.460064,18.380939
1,0,3.9174778,17.48983,77.058548,58.881451,31.938505
1,0,3.3059075,21.308224,85.793709,69.700256,24.034813
1,0,3.7140262,19.544746,81.570015,54.93774,13.147356
1,0,4.1975303,20.885796,89.636475,79.302269,13.722383
2,0,3.3629661,16.720238,75.725044,71.74778,19.547815
1,0,3.4754994,18.26067,77.367271,61.206303,25.875483
1,1,4.055829,26.666927,95.718391,95.430901,31.06848
1,1,3.3398538,23.785749,76.181114,77.805756,24.192818
1,0,3.5368555,19.113127,69.550735,80.094978,30.232372
1,0,3.4090717,15.609359,91.466866,64.316948,29.328936
1,1,2.8163936,16.847929,99.950821,78.118263,27.56299
1,0,3.0079546,19.515362,78.362885,56.7575,20.694084
2,0,3.2840331,22.0198,103.54649,69.908279,27.806074
1,1,3.2668934,19.133022,82.395592,65.955048,24.93788
1,0,3.5583413,19.93936,76.462471,65.894287,23.404669
2,0,3.2662311,15.283125,87.726273,69.773018,31.663065
1,0,3.3220012,18.73131,71.492081,72.783073,25.537476
1,1,3.3518028,21.67391,95.729645,84.932045,19.622541
1,0,3.2422462,18.922251,71.140648,66.090286,24.265795
1,0,3.3426056,17.920906,88.60656,65.033661,17.350887
1,1,3.905551,18.807156,97.901268,81.805649,21.108444
1,1,3.5479479,19.667839,79.579849,63.357693,18.152782
2,0,2.8273468,15.632793,70.200821,54.429859,18.989235
1,0,3.8296809,23.669687,78.203583,84.353981,21.929211
1,1,4.3130698,20.267923,85.601044,71.554192,26.96813
1,0,3.9219048,21.479822,94.412186,75.587532,25.625439
1,0,3.5232792,16.22957,67.196312,59.407307,19.035311
1,0,3.6856182,12.99503,73.55751,50.47831,21.084024
1,1,2.8151827,17.38208,56.226608,70.895302,21.37804
1,0,3.4182479,20.654783,85.678406,54.087223,23.344234
1,1,3.090081,18.586283,85.055016,67.320068,16.083727
0,0,2.6982374,14.076228,68.871246,59.756374,17.200758
2,1,3.0902576,18.139862,86.416,71.081055,26.115807
1,0,3.3698611,17.117233,82.927162,64.116898,14.653915
0,0,2.9883962,24.038342,88.188103,77.537857,25.833092
2,1,3.6481233,17.031208,66.388329,60.954632,24.26306
1,1,3.4746897,20.533154,97.763657,73.938499,28.443697
1,0,3.1932566,18.323215,62.52071,67.255119,24.808498
2,0,2.9081266,15.850941,88.459908,72.465843,18.956303
1,0,3.7774963,22.775848,84.825371,66.31102,18.499805
1,0,3.2700288,19.621523,76.833641,70.377815,26.396702
