cnom,cbin,ccon,xcon,ucon,y_t,y_d
3,1,5.0762815,1.0393836,45.493423,2.7279053,0
1,0,13.536495,-.16921556,56.232376,7.2369738,1
1,1,1.7436391,.48436567,63.591015,1.5169958,1
1,0,-6.6919641,-.39984456,46.640659,.98219842,1
3,0,-2.8784518,.34263811,57.096165,.17248535,0
2,0,-4.6897006,-.41380331,68.421997,5.5699844,1
2,0,7.0157189,-.62444276,63.925209,1.8383789,0
2,1,3.0210025,.25781438,70.61248,4.0866842,1
3,0,-8.0394535,-.5702039,65.759247,3.6484141,1
2,1,4.3419089,-.0050361925,58.42577,.22229004,0
3,0,-7.2129345,.31424949,66.026726,3.048991,1
3,0,1.1100237,.1933293,64.387352,1.9328299,1
2,0,1.6961901,-.30842596,58.027168,2.2896762,1
2,0,5.9747205,-.26037526,54.812458,9.7985792,1
4,0,4.4297652,-1.2599634,63.46608,2.1604948,1
2,0,-5.3253531,.021947635,67.498886,1.4659743,1
4,0,6.9579358,-.37472528,68.74649,3.276123,0
2,0,1.3020407,-.15372288,61.201618,1.0915527,0
1,0,3.6908333,-.080963254,64.961624,2.2373047,0
2,0,12.0936,-.20766191,44.646984,2.4049072,0
1,0,4.7984066,-.12040021,55.125866,10.267456,0
4,0,-6.0797324,.0017052651,66.715942,.85644531,0
4,0,5.0814695,-.53811938,46.787807,4.5172658,1
1,0,-2.5707262,-.48210731,64.715675,3.0655746,1
1,1,-.12194294,.46845743,54.157574,.020263672,0
1,1,4.8833394,-.68741947,60.301983,.70027214,1
2,0,-3.1153302,.3260417,43.295738,3.777262,1
2,0,15.931693,-.58293301,47.115398,2.4781494,0
3,0,-2.9771826,.3157014,46.59053,2.8704834,0
2,0,-.42553732,-.53095287,60.677853,1.6796368,1
1,1,5.3156514,.37009034,46.037899,1.9718487,1
1,0,1.0269265,.10090659,63.342213,4.307652,1
1,0,1.5782334,-.051209863,63.842697,7.6550293,0
3,0,-3.7004895,-.72872186,54.08453,3.3917236,0
3,0,-5.1863446,-.018666975,57.544979,.37609863,0
3,1,9.3932896,-.057821326,47.448254,2.9796143,0
3,0,-6.5204906,-.2970899,60.592678,5.3489594,1
2,1,-4.3016434,.59928906,44.592049,3.527046,1
1,0,6.4978986,-.16733862,48.347244,4.1625977,0
3,1,13.244673,-.30439302,34.364864,3.8566895,0
3,0,7.0664644,.36761725,48.949848,4.7925382,1
1,0,-3.2978606,.12859692,44.228226,.90075684,0
2,0,-2.9787693,.327185,53.30014,6.4156494,0
1,0,-4.4736071,.046433195,67.626801,.14742768,1
1,0,6.594039,-.61647725,57.612648,6.362915,0
4,1,5.5997205,.7002629,35.91769,11.588257,0
4,0,4.0713563,.20673089,63.48719,5.9435401,1
1,0,-3.5956323,-.17029601,62.369507,3.2472236,1
3,0,4.1510925,-.061060578,50.191978,4.3208008,0
4,1,1.9710633,.92670131,58.322948,1.4823462,1
4,1,1.492805,-.084236905,28.769285,6.6579456,1
2,0,4.1889787,-1.2105387,58.353729,7.2790003,1
2,0,-1.7367409,-.8290813,52.248875,.071289063,0
4,1,-4.1599326,.24264365,70.865692,2.5095215,0
1,0,11.182528,-.0036153456,49.214672,2.9454346,0
4,0,2.1182444,.82719952,43.940769,1.9161377,0
1,0,-5.6567621,.40770966,51.979809,.70300293,0
1,0,6.6153502,-.31847763,49.847336,5.3164063,0
1,0,-5.493073,.0019815911,44.832043,1.860809,1
2,0,2.3068449,-.48778689,69.533348,1.0948486,0
4,0,16.760742,-.59440219,44.080879,1.6029801,1
4,0,-7.6466403,.046273451,73.887398,3.0465784,1
3,0,1.167322,-.3400757,56.586575,8.2579966,1
1,0,10.805022,.10763504,42.958336,3.2641602,0
3,0,-8.4227133,.20067668,53.470409,.22351074,0
3,0,-6.5931497,.06397479,49.003353,6.4396973,0
2,0,-.74242043,.25250608,35.375576,8.0201416,0
2,0,4.2231145,.21096055,58.148949,1.6676025,0
4,1,2.8158312,.12607062,43.502014,2.3760154,1
1,0,-8.2138033,-.43326452,63.034397,1.5233766,1
1,0,1.9038039,.15781629,58.543293,7.8496094,0
4,0,3.5885346,-.63312763,40.847683,3.3372803,0
1,0,-6.3085194,-.10252913,50.393734,2.7435982,1
4,0,1.8928642,.1677046,50.758068,1.0642174,1
3,0,-6.2534504,.34241429,55.266575,1.7357019,1
3,0,9.4388971,-.60681206,47.054409,2.467041,0
4,0,-11.382307,-.14111362,61.989277,.082821235,1
3,0,7.7559471,-.3573266,35.398731,8.6115723,0
1,0,12.862043,-.75259811,45.916393,9.6090088,0
3,1,-2.6794894,-.32095996,28.709145,11.637085,0
3,0,2.8484321,.24801362,66.532806,4.8205056,1
4,0,7.5822406,.13177095,56.09045,5.717041,0
4,0,-.81622779,-.12291911,66.857437,2.4785211,1
4,0,-3.6156316,.29132548,30.453943,9.8339844,0
3,1,1.9009128,-.08871828,54.373184,2.005127,0
2,1,.27607456,.68740737,32.442715,5.6014404,0
3,0,14.826283,-.40558088,57.137096,3.9404297,0
2,0,4.4347868,-.46804002,46.942066,1.3620586,1
4,1,5.6650753,-.016428376,28.372795,9.90625,0
4,1,-3.1832614,-.14053698,56.306183,3.0065055,1
3,0,-8.6086807,.15981045,61.770916,1.0999756,0
3,0,9.2838144,-.61925793,58.709064,3.7869663,1
4,0,-5.9783263,.50013423,81.623413,.25409442,1
4,0,1.2815595,.56680214,51.145752,3.8835449,0
1,0,-2.8164728,.10913266,45.886143,1.631856,1
1,0,-7.2096663,-.01045583,59.261539,1.3773193,0
4,0,4.3467274,-.5342806,73.485237,.9284668,0
2,0,-5.0368228,-.00929261,53.642853,4.6721835,1
4,1,-7.1839457,.13255103,79.734901,1.1685216,1
2,0,-2.7502272,-.069679685,48.468227,10.284496,1
4,0,.90234649,-.18676277,50.189465,3.9497645,1
4,0,-14.493438,-.18896987,73.490067,4.1369629,0
2,0,.36019868,-.24145886,51.74889,3.1178164,1
1,1,.11955453,.5363577,35.899475,3.5699463,0
2,0,2.770505,-.37349087,42.388012,4.1934814,0
4,0,-10.93306,.40936875,76.342209,.0967701,1
3,1,5.6491461,.70839715,48.557659,6.7730446,1
1,0,-3.2521915,.77184439,71.881561,6.2827668,1
3,0,.6361472,.13724008,40.769341,2.7794189,0
2,0,12.395604,-.44590068,60.096336,2.7097168,0
1,0,-1.5455999,-.2900542,58.310726,4.3081055,0
4,0,6.1530042,-.28237352,65.851334,3.9543083,1
3,0,-5.9316363,.81622249,49.146721,5.0531502,1
2,0,-.57941288,.60765296,36.342476,4.7307739,1
2,0,5.2932887,.17079994,77.030663,3.7265072,1
2,0,-.63682139,.068068691,36.407566,1.9757597,1
3,0,-3.4009097,-.78983837,64.018265,.73701316,1
1,1,8.5094109,.84433448,47.887932,3.3500977,0
2,0,7.4649148,.58073139,43.247311,6.1672363,0
2,1,-5.556478,.53571737,43.54195,2.5061035,0
3,0,6.7133932,-.72568011,75.097992,2.3544345,1
4,0,6.0412135,.004369549,59.029663,5.6677113,1
1,0,5.8557296,-.3553015,62.149246,6.512114,1
3,0,-5.7816868,.37662303,63.025833,3.7253418,0
1,0,10.15861,-.49873695,53.612354,1.880249,0
3,0,10.666203,-.75876719,58.19854,1.4470215,0
