cnom,cbin,ccon,xbin,ucon1,ybin
1,1,3.4683764,0,57.193832,1
1,1,4.1550646,0,59.142857,1
1,1,3.1948049,0,50.675598,1
1,0,3.8668034,0,58.97179,1
1,1,3.0788581,0,65.03183,1
1,0,3.1983869,0,56.816807,1
1,1,3.811372,0,56.377502,1
1,1,3.3837323,1,62.090912,1
0,0,2.8422606,1,72.631775,1
1,0,3.6250482,0,66.478294,1
0,1,3.1607869,0,54.139641,0
1,0,2.950706,0,63.626884,1
0,1,2.3250763,0,69.311989,0
2,0,2.7979014,0,66.823265,1
1,0,3.2500668,0,55.379105,1
1,0,3.3616467,0,60.320076,1
1,0,3.7592978,0,38.597717,0
1,0,3.437223,0,64.047379,1
1,1,3.8015289,1,87.738594,1
2,0,3.5323644,0,61.587849,1
0,1,2.6708293,1,56.316765,1
1,1,2.9239144,1,73.066772,1
1,1,4.1338553,0,71.664055,1
2,0,3.0105214,0,59.450283,1
1,1,3.0799048,0,57.593307,1
1,1,2.6941617,0,53.394913,1
2,1,3.5881777,0,70.325142,1
0,0,3.1007721,0,50.39225,1
0,0,2.7990294,0,64.784653,1
1,0,3.3753624,0,72.614624,1
1,1,3.6227875,0,59.072422,1
1,1,3.0259466,0,53.714108,1
1,1,3.0717368,1,67.543823,0
2,0,3.5536218,0,62.523495,1
1,1,2.8492126,0,55.293064,0
2,1,3.4255714,1,74.954445,1
0,0,3.4328532,0,66.952515,1
1,1,3.8183599,1,43.90847,1
1,0,3.9732032,1,60.023182,1
1,0,3.8735957,0,62.51009,1
0,0,3.7109048,0,48.389347,1
1,1,3.1908283,0,58.745499,1
1,0,4.3844972,1,87.108543,1
0,0,2.3690062,0,56.603981,1
0,1,2.6054609,0,39.990456,1
1,1,3.1081674,1,60.633755,1
1,1,4.2441139,1,91.124527,1
0,0,2.5969315,0,63.798809,1
1,1,3.9969928,1,79.854027,1
1,0,3.0865474,0,52.662487,0
1,1,3.2437873,0,68.882469,1
1,0,3.4628506,1,43.787071,0
2,0,3.6499703,1,70.911438,0
1,0,3.6002238,0,75.773567,0
1,0,3.7200284,1,75.839722,1
1,0,4.2018294,0,53.381866,1
1,1,2.9793506,0,63.313526,1
1,0,3.2080665,0,70.685646,1
1,1,4.1303291,1,70.664757,1
0,1,2.8003838,1,68.269157,1
1,1,2.8792994,0,55.57053,1
1,1,3.3764031,0,64.332169,1
1,1,2.7923455,0,45.757481,1
1,1,4.1739645,0,61.179363,0
2,1,3.3417394,0,51.335289,0
2,1,3.4819963,0,68.694038,1
1,0,2.9397984,0,55.003235,0
0,0,3.2301586,0,52.298584,1
1,1,2.9734676,1,56.455807,1
1,0,3.8074806,0,59.973064,0
2,0,3.572067,0,73.454498,1
1,0,3.1218636,1,66.042404,1
0,0,2.6644576,1,55.811901,1
0,1,2.9837098,1,62.877151,1
0,1,2.6522007,0,56.290779,1
1,0,3.0096614,0,64.049828,1
1,1,3.1480699,0,66.670113,1
1,0,3.045598,0,59.90694,1
1,1,3.3653939,0,66.823257,1
1,0,3.4439321,0,71.923424,1
1,1,3.9082248,1,70.69796,1
1,0,3.9615047,1,84.808731,1
1,0,2.9595654,0,59.188736,1
1,1,2.5545404,0,66.304459,1
0,0,2.7402625,0,46.787781,0
0,1,2.5399332,0,55.868038,1
1,0,3.0077901,0,51.870731,0
1,1,3.1656015,0,59.080116,0
0,0,2.8107624,0,63.955624,1
1,1,3.4453189,0,75.492577,0
2,1,3.6313794,0,68.256294,1
1,1,3.6046381,0,80.506409,1
1,1,3.3103063,0,53.335892,1
0,0,3.2761879,0,70.222565,1
0,1,3.0396593,0,39.830135,1
1,0,3.3855302,1,62.759533,1
0,1,3.2208095,0,41.991184,0
0,1,2.8674624,0,49.393051,0
1,0,3.6580131,0,69.187042,1
1,0,2.8702757,0,53.597061,1
1,0,3.2488861,0,56.883404,1
1,0,3.1548002,0,56.74371,0
1,0,2.8354065,0,44.905182,0
1,0,3.7433615,0,81.453941,1
1,1,3.9444191,0,62.349762,1
1,0,3.4010892,0,68.728912,1
1,0,3.8400919,0,60.592976,1
1,0,2.9191308,1,51.629974,1
1,0,4.2332921,1,72.361794,1
1,0,3.7232163,0,64.501648,1
1,1,4.4260063,0,68.342758,1
1,0,3.1337554,1,77.578316,1
1,0,3.9942219,1,65.426056,1
1,0,2.7494953,0,61.467724,1
2,1,3.5601003,0,73.269257,0
1,0,3.2537935,0,71.84935,1
1,1,3.5993285,1,63.627132,0
1,1,3.3425384,0,51.25573,1
2,1,2.9007938,0,61.083035,1
2,0,3.4800475,0,46.196922,0
1,1,3.6113541,0,61.825924,1
1,1,4.0959191,0,54.750816,1
1,0,3.7518938,0,61.025028,1
1,1,3.1558583,0,83.568901,1
0,1,3.6062129,1,76.31517,1
1,0,2.7524164,0,59.208462,1
1,0,3.1202474,0,63.345779,1
1,0,3.6494348,0,62.896313,1
1,0,3.2548952,0,54.159328,1
1,1,3.1519034,1,69.31601,1
0,0,2.7394845,0,74.884995,1
2,0,3.742533,0,68.523735,1
2,1,4.0962129,0,72.793159,1
1,0,2.7699561,0,66.268471,1
1,1,3.4940424,0,60.033478,1
1,1,2.8030713,0,60.689396,1
0,0,2.6014144,1,66.918739,1
0,0,2.4301343,0,47.211571,1
1,0,3.4763584,0,57.434509,1
1,0,3.5747437,0,58.208435,1
1,0,3.1575861,0,45.054897,1
0,0,3.8844163,0,61.476982,1
1,1,3.347235,1,74.138161,1
1,1,2.8554313,0,70.804771,1
1,0,3.7626767,0,66.444733,1
1,0,3.6259019,0,67.289658,1
1,1,3.4374864,0,56.87928,0
1,0,3.5106475,0,76.594215,1
1,1,3.2544205,1,59.319714,1
1,1,3.219445,0,41.396523,1
1,1,3.4637971,1,61.678322,1
1,0,3.9893899,0,58.325718,0
1,0,2.8724525,0,66.070366,1
2,0,3.4105191,0,62.012753,1
0,0,3.0057325,0,86.079224,1
1,1,3.831495,0,65.362091,0
1,1,3.0522006,0,47.966942,1
0,1,2.179774,0,45.333965,1
1,0,4.1681762,0,66.013824,1
2,1,3.1613252,0,59.525795,1
1,1,2.8170419,0,68.369492,1
1,0,3.6198294,0,49.67416,0
1,1,3.580322,0,61.085018,1
1,0,4.1156187,0,60.412922,1
1,1,3.3834956,0,77.245766,1
0,1,2.4517066,1,69.990479,1
1,0,3.6960511,1,67.403305,0
1,0,3.8802481,0,74.945206,1
1,0,3.2894478,0,59.17622,1
1,0,3.6249478,1,58.26115,1
0,0,2.4130669,0,50.113815,1
0,0,2.5749381,0,72.640381,1
1,1,3.9112723,0,77.337616,1
1,1,2.8746932,0,57.718235,1
2,0,3.068126,0,52.515087,1
2,1,2.9942389,0,48.576477,1
1,0,3.6740525,1,59.942108,1
1,1,3.0289812,0,70.362511,1
1,1,3.2709675,0,71.993019,1
2,0,4.3150563,0,70.925491,1
1,1,3.0079653,0,59.701893,0
1,0,3.3862364,0,45.525112,0
1,0,2.4069431,0,56.833218,1
1,1,2.9259214,0,54.993652,1
1,0,3.8074415,0,63.122158,0
0,1,3.7414863,0,56.687489,1
1,1,2.9236438,0,63.783539,1
1,1,3.3481765,0,52.742733,0
1,1,3.6184494,1,53.118046,1
1,1,3.3853357,0,66.257828,1
1,0,3.1813998,0,46.169678,0
1,0,3.4869483,0,50.169674,1
0,0,3.2088678,1,57.317688,1
1,0,2.9866037,0,67.382195,0
1,0,3.1298892,0,50.924934,0
0,0,3.69015,0,71.930901,1
1,0,2.6707132,0,54.534931,0
1,1,4.3735523,1,68.083336,1
1,0,3.522856,0,76.994568,1
1,1,4.2002554,1,66.321518,0
