cnom,cbin,ccon,xcon,ucon2,ucon1,ycon
1,1,3.5940957,21.870695,82.931183,58.324341,27.839554
2,1,3.3056974,18.458029,92.686417,64.817795,21.645208
1,0,3.1858859,19.855246,88.215042,78.928284,23.907877
1,0,3.6882517,19.531492,94.854034,60.00058,20.913031
1,1,3.537724,23.201881,85.619675,87.402718,31.91906
1,0,3.5291922,20.962677,85.149101,77.637802,29.5149
1,1,3.4327059,24.512423,97.953369,63.509987,17.466644
1,1,3.3196042,22.424063,91.670547,67.986877,26.536154
1,1,3.7751691,23.200516,105.20116,95.425644,21.549135
1,1,3.8412778,15.669641,69.463585,55.527699,18.694944
1,0,2.4673691,21.025108,73.641548,65.824005,27.749073
1,1,4.0660563,18.231115,85.332809,86.222832,20.67831
1,0,3.2586303,19.102852,95.561562,55.534531,20.521505
1,0,2.9039142,18.308331,76.73156,74.402718,21.002598
0,0,3.2083709,22.257351,94.521263,78.194992,19.981873
1,0,3.3281467,20.92108,101.77055,64.368416,22.365276
1,0,3.22842,19.884613,75.251007,84.891541,31.544703
1,1,4.1914783,20.327461,78.47673,66.625389,19.603477
1,1,3.9483523,21.045397,71.453819,83.025795,22.216238
1,0,3.4594531,22.60573,99.540947,76.074135,28.758835
2,1,2.9134307,20.439758,103.59541,82.885178,23.552679
1,0,3.3924582,20.591433,76.174721,84.234451,33.165623
1,0,3.3521435,21.223347,80.338951,91.854683,31.249498
1,0,3.0966747,21.516994,107.55013,72.585121,32.449009
0,0,2.8021259,17.651344,85.371674,58.720978,31.212555
1,0,3.3276625,21.213024,103.48097,57.884296,16.859358
1,1,3.8640084,20.951937,80.189552,73.681931,21.832273
1,1,2.7982528,18.851692,85.306473,78.372162,26.262903
1,1,3.8982711,18.168013,80.010452,87.215973,26.754457
1,1,3.7505505,17.315912,77.5233,69.410156,22.455513
1,0,3.4044502,22.00593,81.129082,87.781425,28.407293
1,1,2.9216318,18.895237,80.471634,48.19331,12.67375
1,1,3.291091,17.349936,78.615837,70.645386,16.696014
1,1,3.1416628,20.974768,85.680542,72.984222,23.088625
