cnom,cbin,ccon,xcon,ucon,y_t,y_d
2,0,-7.586576,.19774677,78.905785,.4239502,0
3,0,6.5548472,-.095378213,50.670834,2.541748,0
3,0,8.3077869,-.59514785,73.298531,9.3557806,1
4,1,-5.7200012,.56234807,49.779564,5.0898438,0
3,0,8.1490002,-.804461,47.263153,10.539429,0
2,0,-1.6853837,-.20863444,47.820839,6.4332004,1
3,1,9.4443712,.55143166,54.728924,8.1727295,0
1,0,.9985795,.029779004,72.91803,1.0644531,0
2,0,.54042697,-.6316734,61.909191,11.083008,0
2,0,-2.0080056,-.12415034,56.173378,7.2514648,0
4,0,1.0089816,-.013990745,52.377583,7.0347142,1
1,0,8.3991938,-.02842753,40.532665,3.4841309,0
4,0,-2.824178,.21261604,31.113281,6.8817139,0
4,0,-2.4738469,-.38060176,76.724815,3.650279,1
1,0,-1.1800746,-.35435307,73.154976,3.6434939,1
4,1,6.4368782,.38831949,40.731289,8.2064657,1
3,1,-5.0163565,-.36750022,59.346432,4.3458433,1
3,0,-4.2274666,.049574465,69.666801,1.0582275,0
1,0,3.7663298,-.26550233,69.295967,1.7437744,0
4,1,1.7718079,.77927548,49.854473,8.1895752,0
2,0,10.543777,-.63401484,80.710976,4.3425679,1
4,0,1.8199329,-.30353537,65.286057,4.3214111,0
2,0,7.3439441,.17921259,41.287807,4.0270996,0
3,0,4.8088608,.70131004,42.544048,.90933311,1
1,0,4.9488659,.26298735,31.667671,5.7675781,0
1,0,3.1467927,-.2449815,25.971867,5.5959325,1
2,1,5.7922831,-.10912248,67.27668,4.0692139,0
3,0,3.4985206,-.23719847,57.852505,11.518799,0
1,1,6.6011248,-.0962753,61.863983,6.3054161,1
3,1,1.7678949,.4109925,52.191433,2.5068359,0
1,1,2.6878061,.35319033,54.993294,3.873291,0
3,1,-4.5833774,1.3773435,42.108147,9.7939453,0
1,0,2.4568644,-.31858969,63.514351,7.5945058,1
4,1,-4.3283501,.21182141,53.297958,2.178843,1
4,0,5.6520863,.13003597,49.697548,1.859375,0
2,1,-9.0103245,.55477673,53.529568,4.819458,0
4,0,-2.5597789,.3149032,49.654835,3.6328185,1
3,0,-2.707499,.84498161,33.214336,4.6443844,1
4,0,2.2895,-.011637302,63.793919,2.6184943,1
3,1,-1.2927443,.25431281,40.907993,7.3033447,0
1,0,10.064574,-1.0353037,58.722012,2.3936124,1
3,0,13.21094,-.28448343,40.159611,1.178833,0
1,1,2.9583948,.80719674,65.353592,5.5271716,1
2,0,1.2266463,-.4433001,53.025417,4.1602006,1
3,0,-1.6034508,-.37301916,56.55772,1.6179554,1
4,0,-.33619216,-.1229362,61.063984,.82019043,0
3,0,1.8265765,.1733411,58.507263,1.9145508,0
1,1,3.633105,.20438722,41.128269,5.9804826,1
3,0,13.796679,-.11433894,61.805496,3.3013203,1
2,0,6.3458114,-.051728975,61.171478,.75390625,0
1,1,-12.155939,.74126905,50.278812,1.8859863,0
3,0,.66445464,-.022108044,70.946442,3.2044933,1
1,1,-.95260501,.88162738,50.430729,2.0934994,1
1,0,20.391474,-.54834318,34.261189,.22143555,0
1,0,-8.1026106,.83378053,60.057747,2.2296054,1
3,0,-3.4105113,-.10650017,55.668106,2.0905762,0
2,1,-.56808519,.64870137,39.272694,.094116211,0
3,0,-1.8589047,.14657937,58.360676,3.5245814,1
1,0,2.0249929,.41365841,48.236954,3.3761692,1
1,1,1.4081424,.70883477,32.137966,11.733643,0
4,0,3.1286201,-.66653079,75.450645,3.0336914,0
3,0,-7.7628632,.43076658,60.382084,7.435863,1
1,0,-.39647627,-.30281973,52.375355,1.7455672,1
1,0,1.1313792,.55373245,54.519672,1.861084,0
3,0,-3.8248482,-.93161768,49.877972,3.06023,1
2,0,-2.1697695,.24496594,38.571297,.28845215,0
2,0,3.4571457,-.19665514,57.479321,6.2050748,1
3,0,-2.0242519,.15130095,49.775433,3.3630862,1
3,0,6.7316718,.57071733,45.230846,.071044922,0
4,0,2.4360516,.38292262,48.972618,.1451416,0
2,1,9.0358133,-.27403381,57.89851,3.3999023,0
2,1,7.6507626,.34936514,30.382839,10.313721,0
1,0,-2.4275312,.27959207,62.275513,4.5095215,0
3,0,1.4497005,-.080639385,56.078144,.60876465,0
2,0,2.4864953,-.62527394,40.741833,5.6635742,0
1,0,8.9456377,.010672405,53.817192,.79919434,0
1,0,-10.265381,-.046616249,57.162052,1.6499023,0
2,0,4.5887456,-.2342959,59.116589,7.3036356,1
1,0,-6.348177,-.21181662,63.398159,1.6270858,1
2,0,7.6034179,.018677499,62.864902,5.5591083,1
2,0,2.4675484,-.06265039,46.353195,4.6998291,0
3,0,2.4270329,.0093421089,42.284622,9.6364746,0
1,0,-15.17245,.94146478,40.365162,2.0233819,1
1,0,6.2028828,.10803659,63.753239,1.0638428,0
3,1,10.731701,-.025008639,34.813789,4.2909856,1
2,0,1.063109,-.59733689,58.809032,1.4390869,0
2,0,4.1282773,.43541905,44.549835,.6967839,1
2,1,-7.40944,.73127598,66.747604,.19979887,1
4,0,3.7563469,.13217841,55.85371,.037719727,0
4,0,6.2248626,-.85822624,58.983688,3.6254883,0
1,1,.14617902,.55123472,52.793694,1.6860884,1
4,0,-6.1679854,.3622185,46.350365,2.4854736,0
2,0,-2.2769306,-.29489046,53.600391,5.4707031,0
3,0,-2.5203943,.34015578,71.684525,1.2664646,1
3,0,.58149415,.19305226,70.249763,2.3015137,0
4,0,-3.0462797,.26937094,60.969627,7.5819092,0
4,1,-2.3631098,.41419747,52.02652,1.1315918,0
1,1,4.3670039,-.27951938,53.954578,2.1809082,0
1,0,8.0254478,-.25242126,51.402233,10.130737,0
3,1,-2.6207523,-.0033653954,60.659191,.76806641,0
3,0,-1.8077832,.17922528,41.366737,9.1161976,1
1,0,.21519797,-.22823305,64.615074,.11413574,0
3,1,-7.475153,.90148628,66.387848,.22583008,0
1,0,3.9285848,-.8087551,44.912182,4.2410889,0
4,0,-1.1589454,-.30331564,46.556652,5.6152143,1
2,0,4.4227757,-.40100017,69.110191,10.804077,0
2,0,7.0911098,-.16637599,43.122372,8.3841143,1
4,0,-1.4438998,.11532285,78.154526,2.4135077,1
3,0,-5.5033889,-.20576525,64.400421,2.3594139,1
1,1,-2.3026497,.20467843,59.327072,2.9435768,1
1,0,-8.3007402,.26086321,55.04916,5.5948486,0
1,0,-.28964698,-.37262887,57.818642,.98120117,0
2,1,-5.6255383,.21123368,70.568199,1.4426594,1
2,1,-.42397717,.60806042,55.832077,2.6019843,1
4,0,-7.1389618,.013938191,68.877846,2.9553461,1
2,0,2.4530983,.23515737,39.413124,1.4342041,0
